gene	Kinetic_class	hpi	Time	cell_line	seqnames	strand	norm_base	sample	group	read_count	mean	sd	varcoeff	dist_from_mean	farthest_from_mean	farthest_rep	cluster	rep	rep_gene
ORF1	unknown	1h	1	RK-13	NC_001491.2	+	10	EHV-1_1h_1	RK-13_1h	0	0	0		0		NA	cluster_1	1	ORF1::1
ORF1	unknown	1h	1	RK-13	NC_001491.2	+	14	EHV-1_1h_2	RK-13_1h	0	0	0		0		NA	cluster_1	2	ORF1::2
ORF1	unknown	1h	1	RK-13	NC_001491.2	+	8	EHV-1_1h_3	RK-13_1h	0	0	0		0		NA	cluster_1	3	ORF1::3
ORF1	unknown	2h	2	RK-13	NC_001491.2	+	2197	EHV-1_2h_1	RK-13_2h	0.00955848884842968	0.0112113841389815	0.0017568401282561	0.156701447963739	0.00165289529055186	FALSE	NA	cluster_1	1	ORF1::1
ORF1	unknown	2h	2	RK-13	NC_001491.2	+	1685	EHV-1_2h_2	RK-13_2h	0.0130563798219585	0.0112113841389815	0.0017568401282561	0.156701447963739	0.00184499568297692	TRUE	2	cluster_1	2	ORF1::2
ORF1	unknown	2h	2	RK-13	NC_001491.2	+	1452	EHV-1_2h_3	RK-13_2h	0.0110192837465565	0.0112113841389815	0.0017568401282561	0.156701447963739	0.000192100392425062	FALSE	NA	cluster_1	3	ORF1::3
ORF1	unknown	4h	4	RK-13	NC_001491.2	+	2051	EHV-1_4h_1	RK-13_4h	0.0068259385665529	0.00647474885605644	0.000593701769433788	0.0916949495081098	0.000351189710496457	FALSE	NA	cluster_1	1	ORF1::1
ORF1	unknown	4h	4	RK-13	NC_001491.2	+	2591	EHV-1_4h_2	RK-13_4h	0.00578927055191046	0.00647474885605644	0.000593701769433788	0.0916949495081098	0.000685478304145985	TRUE	2	cluster_1	2	ORF1::2
ORF1	unknown	4h	4	RK-13	NC_001491.2	+	3231	EHV-1_4h_3	RK-13_4h	0.00680903744970597	0.00647474885605644	0.000593701769433788	0.0916949495081098	0.000334288593649528	FALSE	NA	cluster_1	3	ORF1::3
ORF1	unknown	6h	6	RK-13	NC_001491.2	+	14162	EHV-1_6h_1	RK-13_6h	0.00183589888433837	0.00205976167367639	0.000408248222043282	0.198201678990665	0.000223862789338016	FALSE	NA	cluster_1	1	ORF1::1
ORF1	unknown	6h	6	RK-13	NC_001491.2	+	13242	EHV-1_6h_2	RK-13_6h	0.00181241504304486	0.00205976167367639	0.000408248222043282	0.198201678990665	0.000247346630631529	FALSE	NA	cluster_1	2	ORF1::2
ORF1	unknown	6h	6	RK-13	NC_001491.2	+	15014	EHV-1_6h_3	RK-13_6h	0.00253097109364593	0.00205976167367639	0.000408248222043282	0.198201678990665	0.000471209419969545	TRUE	3	cluster_1	3	ORF1::3
ORF1	unknown	8h	8	RK-13	NC_001491.2	+	15660	EHV-1_8h_1	RK-13_8h	0.00421455938697318	0.004242389476351	0.000410104615688138	0.0966683087383295	2.78300893778163e-05	FALSE	NA	cluster_1	1	ORF1::1
ORF1	unknown	8h	8	RK-13	NC_001491.2	+	22076	EHV-1_8h_2	RK-13_8h	0.00466570030802682	0.004242389476351	0.000410104615688138	0.0966683087383295	0.00042331083167582	TRUE	2	cluster_1	2	ORF1::2
ORF1	unknown	8h	8	RK-13	NC_001491.2	+	25475	EHV-1_8h_3	RK-13_8h	0.00384690873405299	0.004242389476351	0.000410104615688138	0.0966683087383295	0.000395480742298003	FALSE	NA	cluster_1	3	ORF1::3
ORF1	unknown	12h	12	RK-13	NC_001491.2	+	73125	EHV-1_12h_1	RK-13_12h	0.00261196581196581	0.00270725870346968	0.000127691787714224	0.0471664520093964	9.52928915038719e-05	FALSE	NA	cluster_1	1	ORF1::1
ORF1	unknown	12h	12	RK-13	NC_001491.2	+	50424	EHV-1_12h_2	RK-13_12h	0.00265746469934952	0.00270725870346968	0.000127691787714224	0.0471664520093964	4.97940041201675e-05	FALSE	NA	cluster_1	2	ORF1::2
ORF1	unknown	12h	12	RK-13	NC_001491.2	+	49433	EHV-1_12h_3	RK-13_12h	0.00285234559909372	0.00270725870346968	0.000127691787714224	0.0471664520093964	0.000145086895624039	TRUE	3	cluster_1	3	ORF1::3
ORF1	unknown	18h	18	RK-13	NC_001491.2	+	64048	EHV-1_18h_1	RK-13_18h	0.00104609043217587	0.00111613795111491	0.000168259829462018	0.15075182175639	7.00475189390432e-05	FALSE	NA	cluster_1	1	ORF1::1
ORF1	unknown	18h	18	RK-13	NC_001491.2	+	42810	EHV-1_18h_2	RK-13_18h	0.00130810558280776	0.00111613795111491	0.000168259829462018	0.15075182175639	0.000191967631692844	TRUE	2	cluster_1	2	ORF1::2
ORF1	unknown	18h	18	RK-13	NC_001491.2	+	38221	EHV-1_18h_3	RK-13_18h	0.000994217838361111	0.00111613795111491	0.000168259829462018	0.15075182175639	0.000121920112753801	FALSE	NA	cluster_1	3	ORF1::3
