Ref_Class	gene	seqnames	gene_cluster	gene_region	Kinetic_class	hpi	Time	cell_line	group	cmp_ref	strand	sample	class_code	read_count	parent	norm_base	sum_read_count	norm_read_count	mean	sd	varcoeff	Isoform_nr	Description	rep	sum_abundance	mean_abundance	min_abundance	max_abundance
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	2h	2	RK-13	RK-13_2h	ORF49-Antisense-Long-novTX_512	-	EHV-1_2h_1	Antisense-Long	0	NA	1	1	0	0	0	NA	1	NA	1	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	2h	2	RK-13	RK-13_2h	ORF49-Antisense-Long-novTX_706	-	EHV-1_2h_1	Antisense-Long	0	NA	1	1	0	0	0	NA	1	NA	1	0	0	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	2h	2	RK-13	RK-13_2h	ORF49-Antisense-Long-novTX_512	-	EHV-1_2h_2	Antisense-Long	0	NA	1	0	0	0	0	NA	1	NA	2	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	2h	2	RK-13	RK-13_2h	ORF49-Antisense-Long-novTX_706	-	EHV-1_2h_2	Antisense-Long	0	NA	1	0	0	0	0	NA	1	NA	2	0	0	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	2h	2	RK-13	RK-13_2h	ORF49-Antisense-Long-novTX_512	-	EHV-1_2h_3	Antisense-Long	0	NA	1	0	0	0	0	NA	1	NA	3	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	2h	2	RK-13	RK-13_2h	ORF49-Antisense-Long-novTX_706	-	EHV-1_2h_3	Antisense-Long	0	NA	1	0	0	0	0	NA	1	NA	3	0	0	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	4h	4	RK-13	RK-13_4h	ORF49-Antisense-Long-novTX_512	-	EHV-1_4h_1	Antisense-Long	0	NA	1	1	0	0	0	NA	1	NA	1	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	4h	4	RK-13	RK-13_4h	ORF49-Antisense-Long-novTX_706	-	EHV-1_4h_1	Antisense-Long	0	NA	1	1	0	0	0	NA	1	NA	1	0	0	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	4h	4	RK-13	RK-13_4h	ORF49-Antisense-Long-novTX_512	-	EHV-1_4h_2	Antisense-Long	0	NA	1	1	0	0	0	NA	1	NA	2	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	4h	4	RK-13	RK-13_4h	ORF49-Antisense-Long-novTX_706	-	EHV-1_4h_2	Antisense-Long	0	NA	1	1	0	0	0	NA	1	NA	2	0	0	0	0.5
