seqnames	strand	window_start	window_end	group	hpi	Time	cell_line	sum_coverage.hpi	mean_coverage.hpi	sd_coverage.hpi	median_coverage.hpi	min_coverage.hpi	max_coverage.hpi	varcoeff_coverage.hpi
NC_001491.2	+	1	50	EHV1_cage_A			RK-13	0	0	0	0	0	0	
NC_001491.2	+	51	100	EHV1_cage_A			RK-13	0	0	0	0	0	0	
NC_001491.2	+	101	150	EHV1_cage_A			RK-13	0	0	0	0	0	0	
NC_001491.2	+	151	200	EHV1_cage_A			RK-13	0	0	0	0	0	0	
NC_001491.2	+	201	250	EHV1_cage_A			RK-13	0	0	0	0	0	0	
NC_001491.2	+	251	300	EHV1_cage_A			RK-13	0	0	0	0	0	0	
NC_001491.2	+	301	350	EHV1_cage_A			RK-13	0	0	0	0	0	0	
NC_001491.2	+	351	400	EHV1_cage_A			RK-13	0	0	0	0	0	0	
NC_001491.2	+	401	450	EHV1_cage_A			RK-13	0	0	0	0	0	0	
NC_001491.2	+	451	500	EHV1_cage_A			RK-13	0	0	0	0	0	0	
NC_001491.2	+	501	550	EHV1_cage_A			RK-13	0	0	0	0	0	0	
NC_001491.2	+	551	600	EHV1_cage_A			RK-13	0	0	0	0	0	0	
NC_001491.2	+	601	650	EHV1_cage_A			RK-13	0	0	0	0	0	0	
NC_001491.2	+	651	700	EHV1_cage_A			RK-13	0	0	0	0	0	0	
NC_001491.2	+	701	750	EHV1_cage_A			RK-13	0	0	0	0	0	0	
NC_001491.2	+	751	800	EHV1_cage_A			RK-13	0	0	0	0	0	0	
NC_001491.2	+	801	850	EHV1_cage_A			RK-13	0	0	0	0	0	0	
NC_001491.2	+	851	900	EHV1_cage_A			RK-13	0	0	0	0	0	0	
NC_001491.2	+	901	950	EHV1_cage_A			RK-13	0.06	0.02	0.0346410161513775	0	0	0.06	1.73205080756888
NC_001491.2	+	951	1000	EHV1_cage_A			RK-13	1.72	0.573333333333333	0.515881123257416	0.72	0	1	0.89979265684433
NC_001491.2	+	1001	1050	EHV1_cage_A			RK-13	4	1.33333333333333	1.52752523165195	1	0	3	1.14564392373896
